skupina_diagnoz;kod_hlavnej_diagnozy;nazov_diagnozy
Skupina onkologických diagnóz 022;c472;Zhubný nádor periférnych nervov dolnej končatiny vrátane bedra
Skupina onkologických diagnóz 022;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 022;c530;Zhubný nádor endocervixu maternice
Skupina onkologických diagnóz 022;c531;Zhubný nádor exocervixu maternice
Skupina onkologických diagnóz 022;c538;Zhubný nádor krčka maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 022;c539;Zhubný nádor krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 022;c540;Zhubný nádor istmu maternice
Skupina onkologických diagnóz 022;c541;Zhubný nádor endometria
Skupina onkologických diagnóz 022;c542;Zhubný nádor myometria
Skupina onkologických diagnóz 022;c543;Zhubný nádor dna maternice
Skupina onkologických diagnóz 022;c548;Zhubný nádor tela maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 022;c549;Zhubný nádor tela maternice, bližšie neurčený
Skupina onkologických diagnóz 022;c56;Zhubný nádor vaječníka
Skupina onkologických diagnóz 022;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 022;d120;Nezhubný nádor slepého čreva
Skupina onkologických diagnóz 022;d121;Nezhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 022;d122;Nezhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 022;d123;Nezhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 022;d124;Nezhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 022;d125;Nezhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 022;d126;Nezhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 022;d127;Nezhubný nádor rektosigmoidového spojenia
Skupina onkologických diagnóz 022;d128;Nezhubný nádor konečníka
Skupina onkologických diagnóz 022;d129;Nezhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 023;c220;Hepatocelulárny karcinóm
Skupina onkologických diagnóz 023;c221;Karcinóm vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 023;c222;Hepatoblastóm
Skupina onkologických diagnóz 023;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 023;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 023;c227;Iný karcinóm pečene, bližšie určený
Skupina onkologických diagnóz 023;c229;Zhubný nádor pečene, bližšie neurčený
Skupina onkologických diagnóz 023;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c253;Zhubný nádor vývodu podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c254;Zhubný nádor endokrinnej časti podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c257;Zhubný nádor iných častí podžalúdkovej žľazy
Skupina onkologických diagnóz 023;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 023;c259;Zhubný nádor podžalúdkovej žľazy, bližšie neurčený
Skupina onkologických diagnóz 023;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 023;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 023;c620;Zhubný nádor nezostúpeného semenníka
Skupina onkologických diagnóz 023;c621;Zhubný nádor zostúpeného semenníka
Skupina onkologických diagnóz 023;c629;Zhubný nádor semenníka, bližšie neurčený
Skupina onkologických diagnóz 023;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 024;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 024;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 024;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 024;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 024;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 024;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 024;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 024;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 024;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 024;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 024;d120;Nezhubný nádor slepého čreva
Skupina onkologických diagnóz 024;d121;Nezhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 024;d122;Nezhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 024;d123;Nezhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 024;d124;Nezhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 024;d125;Nezhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 024;d126;Nezhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 024;d127;Nezhubný nádor rektosigmoidového spojenia
Skupina onkologických diagnóz 024;d128;Nezhubný nádor konečníka
Skupina onkologických diagnóz 024;d129;Nezhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 025;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 025;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 025;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 025;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 025;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 025;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 025;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 025;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 025;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 025;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 025;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c253;Zhubný nádor vývodu podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c254;Zhubný nádor endokrinnej časti podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c257;Zhubný nádor iných častí podžalúdkovej žľazy
Skupina onkologických diagnóz 025;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c259;Zhubný nádor podžalúdkovej žľazy, bližšie neurčený
Skupina onkologických diagnóz 025;c474;Zhubný nádor periférnych nervov brucha
Skupina onkologických diagnóz 025;c478;Zhubný nádor periférnych nervov a autonómnej nervovej sústavy presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c480;Zhubný nádor retroperitonea
Skupina onkologických diagnóz 025;c481;Zhubný nádor pobrušnice bližšie určenej časti
Skupina onkologických diagnóz 025;c482;Zhubný nádor pobrušnice, bližšie neurčenej časti
Skupina onkologických diagnóz 025;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 025;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 025;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 025;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 025;c670;Zhubný nádor trigonum močového mechúra
Skupina onkologických diagnóz 025;c671;Zhubný nádor klenby močového mechúra
Skupina onkologických diagnóz 025;c672;Zhubný nádor bočnej steny močového mechúra
Skupina onkologických diagnóz 025;c673;Zhubný nádor prednej steny močového mechúra
Skupina onkologických diagnóz 025;c674;Zhubný nádor zadnej steny močového mechúra
Skupina onkologických diagnóz 025;c675;Zhubný nádor krčka močového mechúra
Skupina onkologických diagnóz 025;c676;Zhubný nádor ústia močovodu
Skupina onkologických diagnóz 025;c677;Zhubný nádor urachu
Skupina onkologických diagnóz 025;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c679;Zhubný nádor močového mechúra, bližšie neurčený
Skupina onkologických diagnóz 025;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 025;c763;Zhubný nádor na iných a nepresne určených miestach panvy
Skupina onkologických diagnóz 025;c768;Zhubný nádor na iných a nepresne určených miestach presahujúci viaceré oblasti
Skupina onkologických diagnóz 025;c770;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín hlavy, tváre a krku
Skupina onkologických diagnóz 025;c771;Sekundárny a bližšie neurčený zhubný nádor vnútrohrudníkovej lymfatickej uzliny
Skupina onkologických diagnóz 025;c772;Sekundárny a bližšie neurčený zhubný nádor vnútrobrušnej lymfatickej uzliny
Skupina onkologických diagnóz 025;c773;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín pazuchy a hornej končatiny
Skupina onkologických diagnóz 025;c774;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín slabiny a lymfatických uzlín dolnej končatiny
Skupina onkologických diagnóz 025;c775;Sekundárny a bližšie neurčený zhubný nádor vnútropanvových lymfatických uzlín
Skupina onkologických diagnóz 025;c778;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín viacerých oblastí
Skupina onkologických diagnóz 025;c779;Sekundárny a bližšie neurčený zhubný nádor bližšie neurčených lymfatických uzlín
Skupina onkologických diagnóz 025;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 025;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 025;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 025;c791;Sekundárny zhubný nádor močového mechúra a iných a bližšie neurčených močových orgánov
Skupina onkologických diagnóz 026;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 026;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 026;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 026;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 026;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 026;c222;Hepatoblastóm
Skupina onkologických diagnóz 026;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 026;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 026;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 026;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 026;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 026;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 026;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 026;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 026;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 027;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 027;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 027;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 027;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 027;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 027;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 027;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 027;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 027;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 027;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 027;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 027;c480;Zhubný nádor retroperitonea
Skupina onkologických diagnóz 027;c481;Zhubný nádor pobrušnice bližšie určenej časti
Skupina onkologických diagnóz 027;c482;Zhubný nádor pobrušnice, bližšie neurčenej časti
Skupina onkologických diagnóz 027;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 027;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 027;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 027;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 027;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 028;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 028;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 028;c173;Zhubný nádor Meckelovho divertikula
Skupina onkologických diagnóz 028;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c179;Zhubný nádor tenkého čreva, bližšie neurčený
Skupina onkologických diagnóz 028;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 028;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 028;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 028;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 028;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 028;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 028;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 028;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 028;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 028;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 028;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 028;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 028;c475;Zhubný nádor periférnych nervov panvy
Skupina onkologických diagnóz 028;c476;Zhubný nádor periférnych nervov trupu, bližšie neurčený
Skupina onkologických diagnóz 028;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 028;c530;Zhubný nádor endocervixu maternice
Skupina onkologických diagnóz 028;c531;Zhubný nádor exocervixu maternice
Skupina onkologických diagnóz 028;c538;Zhubný nádor krčka maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c539;Zhubný nádor krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 028;c540;Zhubný nádor istmu maternice
Skupina onkologických diagnóz 028;c541;Zhubný nádor endometria
Skupina onkologických diagnóz 028;c542;Zhubný nádor myometria
Skupina onkologických diagnóz 028;c543;Zhubný nádor dna maternice
Skupina onkologických diagnóz 028;c548;Zhubný nádor tela maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c549;Zhubný nádor tela maternice, bližšie neurčený
Skupina onkologických diagnóz 028;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 028;c679;Zhubný nádor močového mechúra, bližšie neurčený
Skupina onkologických diagnóz 028;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 028;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 028;d127;Nezhubný nádor rektosigmoidového spojenia
Skupina onkologických diagnóz 028;d128;Nezhubný nádor konečníka
Skupina onkologických diagnóz 029;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 029;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 029;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 029;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 029;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 029;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 029;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 029;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 029;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 029;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 029;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 029;c480;Zhubný nádor retroperitonea
Skupina onkologických diagnóz 029;c481;Zhubný nádor pobrušnice bližšie určenej časti
Skupina onkologických diagnóz 029;c482;Zhubný nádor pobrušnice, bližšie neurčenej časti
Skupina onkologických diagnóz 029;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 029;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 029;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 029;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 030;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 030;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 030;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 030;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 030;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 030;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 030;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 030;c222;Hepatoblastóm
Skupina onkologických diagnóz 030;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 030;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 030;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 030;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 030;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 030;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 030;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 030;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 030;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 030;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 031;c150;Zhubný nádor krčnej časti pažeráka
Skupina onkologických diagnóz 031;c151;Zhubný nádor hrudníkovej časti pažeráka
Skupina onkologických diagnóz 031;c152;Zhubný nádor brušnej časti pažeráka
Skupina onkologických diagnóz 031;c153;Zhubný nádor hornej tretiny pažeráka
Skupina onkologických diagnóz 031;c154;Zhubný nádor strednej tretiny pažeráka
Skupina onkologických diagnóz 031;c155;Zhubný nádor dolnej tretiny pažeráka
Skupina onkologických diagnóz 031;c158;Zhubný nádor pažeráka presahujúci viaceré oblasti
Skupina onkologických diagnóz 031;c159;Zhubný nádor pažeráka, bližšie neurčený
Skupina onkologických diagnóz 031;c160;Zhubný nádor kardie
Skupina onkologických diagnóz 031;c161;Zhubný nádor fundu žalúdka
Skupina onkologických diagnóz 031;c162;Zhubný nádor tela žalúdka
Skupina onkologických diagnóz 031;c163;Zhubný nádor antra pyloru
Skupina onkologických diagnóz 031;c164;Zhubný nádor pyloru
Skupina onkologických diagnóz 031;c165;Zhubný nádor malej kurvatúry žalúdka, bližšie neurčený
Skupina onkologických diagnóz 031;c166;Zhubný nádor veľkej kurvatúry žalúdka, bližšie neurčený
Skupina onkologických diagnóz 031;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 031;c169;Zhubný nádor žalúdka, bližšie neurčený
Skupina onkologických diagnóz 032;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 032;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 032;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 032;c173;Zhubný nádor Meckelovho divertikula
Skupina onkologických diagnóz 032;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 032;c179;Zhubný nádor tenkého čreva, bližšie neurčený
Skupina onkologických diagnóz 032;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 032;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 032;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 032;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 032;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 032;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 032;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 032;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 032;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 032;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 032;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 032;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 032;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 032;c475;Zhubný nádor periférnych nervov panvy
Skupina onkologických diagnóz 032;c476;Zhubný nádor periférnych nervov trupu, bližšie neurčený
Skupina onkologických diagnóz 032;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 032;c530;Zhubný nádor endocervixu maternice
Skupina onkologických diagnóz 032;c531;Zhubný nádor exocervixu maternice
Skupina onkologických diagnóz 032;c538;Zhubný nádor krčka maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 032;c539;Zhubný nádor krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 032;c540;Zhubný nádor istmu maternice
Skupina onkologických diagnóz 032;c541;Zhubný nádor endometria
Skupina onkologických diagnóz 032;c542;Zhubný nádor myometria
Skupina onkologických diagnóz 032;c543;Zhubný nádor dna maternice
Skupina onkologických diagnóz 032;c548;Zhubný nádor tela maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 032;c549;Zhubný nádor tela maternice, bližšie neurčený
Skupina onkologických diagnóz 032;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 032;c679;Zhubný nádor močového mechúra, bližšie neurčený
Skupina onkologických diagnóz 032;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 032;d127;Nezhubný nádor rektosigmoidového spojenia
Skupina onkologických diagnóz 032;d128;Nezhubný nádor konečníka
Skupina onkologických diagnóz 033;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 033;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 033;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 033;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 033;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 033;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 033;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 033;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 033;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 033;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 033;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c253;Zhubný nádor vývodu podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c254;Zhubný nádor endokrinnej časti podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c257;Zhubný nádor iných častí podžalúdkovej žľazy
Skupina onkologických diagnóz 033;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c259;Zhubný nádor podžalúdkovej žľazy, bližšie neurčený
Skupina onkologických diagnóz 033;c474;Zhubný nádor periférnych nervov brucha
Skupina onkologických diagnóz 033;c478;Zhubný nádor periférnych nervov a autonómnej nervovej sústavy presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c480;Zhubný nádor retroperitonea
Skupina onkologických diagnóz 033;c481;Zhubný nádor pobrušnice bližšie určenej časti
Skupina onkologických diagnóz 033;c482;Zhubný nádor pobrušnice, bližšie neurčenej časti
Skupina onkologických diagnóz 033;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 033;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 033;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 033;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 033;c670;Zhubný nádor trigonum močového mechúra
Skupina onkologických diagnóz 033;c671;Zhubný nádor klenby močového mechúra
Skupina onkologických diagnóz 033;c672;Zhubný nádor bočnej steny močového mechúra
Skupina onkologických diagnóz 033;c673;Zhubný nádor prednej steny močového mechúra
Skupina onkologických diagnóz 033;c674;Zhubný nádor zadnej steny močového mechúra
Skupina onkologických diagnóz 033;c675;Zhubný nádor krčka močového mechúra
Skupina onkologických diagnóz 033;c676;Zhubný nádor ústia močovodu
Skupina onkologických diagnóz 033;c677;Zhubný nádor urachu
Skupina onkologických diagnóz 033;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c679;Zhubný nádor močového mechúra, bližšie neurčený
Skupina onkologických diagnóz 033;c688;Zhubný nádor močových orgánov presahujúci viaceré oblasti
Skupina onkologických diagnóz 033;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 033;c763;Zhubný nádor na iných a nepresne určených miestach panvy
Skupina onkologických diagnóz 033;c768;Zhubný nádor na iných a nepresne určených miestach presahujúci viaceré oblasti
