skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_markera;hodnota_markera;kod_ms;nazov_ms
Diagnózy v pracovnom lekárstve;n158;Iná tubulointersticiálna choroba obličiek, bližšie určená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;n189;Chronická choroba obličiek, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t36-;Otrava celkovo účinkujúcimi antibiotikami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t37-;Otrava inými systémovo účinkujúcimi protiinfekčnými a antiparazitovými prostriedkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t38-;Otrava hormónmi, ich syntetickými náhradami a antagonistami, nezatriedená inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t39-;Otrava neopioidovými analgetikami, antipyretikami a antireumatikami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t40-;Otrava opiátmi a psychodysleptikami [halucinogénmi];mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t41-;Otrava anestetikami a liečebnými plynmi;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t42-;Otrava antiepileptikami, sedatívami, hypnotikami a antiparkinsonikami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t43-;Otrava psychotropnými látkami, nezatriedenými inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t44-;Otrava liečivami, účinkujúcimi najmä na autonómnu nervovú sústavu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t45-;Otrava prostriedkami, účinkujúcimi najmä celkovo a na zložky krvi, nezatriedenými inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t46-;Otrava prostriedkami, účinkujúcimi najmä na obehovú sústavu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t47-;Otrava prostriedkami, účinkujúcimi najmä na tráviacu sústavu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t48-;Otrava prostriedkami, účinkujúcimi primárne na hladké a kostrové svaly a na dýchaciu sústavu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t490;Otrava protiplesňovými, protiinfekčnými a protizápalovými liekmi s miestnym účinokm, nezatriedenými inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t491;Otrava antipruriginózami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t492;Otrava lokálnymi adstringenciami a detergenciami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t493;Otrava emolienciami, demulcenciami a ochrannými prostriedkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t494;Otrava keratolytikami, keratoplastikami a inými liekmi a prípravkami na ošetrovanie vlasov;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t496;Otrava liekmi a prípravkami používanými v otorinolaryngológii;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t497;Otrava zubnými liekmi na miestne použitie;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t498;Otrava inými prostriedkami na miestne použitie;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t499;Otrava prostriedkami na miestne použitie, bližšie neurčenými;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t50-;Otrava diuretikami a inými bližšie neurčenými liekmi, liečivami a biologickými látkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t51-;Toxický účinok alkoholu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t52-;Toxický účinok organických rozpúšťadiel;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t53-;Toxický účinok halogénových derivátov alifatických a aromatických uhľovodíkov;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t54-;Toxický účinok leptavej látky;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t55;Toxický účinok mydla a detergencia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t56-;Toxický účinok kovu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t57-;Toxický účinok inej anorganickej látky;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t58;Toxický účinok oxidu uhoľnatého (CO);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t59-;Toxický účinok iného plynu, dymu a výparov;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t60-;Toxický účinok pesticídu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t61-;Toxický účinok škodlivých látok požitých ako morská potrava;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t62-;Toxický účinok iných škodlivých látok požitých ako potrava;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t63-;Toxický účinok kontaktu s jedovatými zvieratami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t64;Toxický účinok aflatoxínu a iných mykotoxínov, znečisťujúcich potravu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;t65-;Toxický účinok inej a bližšie neurčenej látky;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x454;Náhodná otrava a priotrávenie alkoholom - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x455;Náhodná otrava a priotrávenie alkoholom - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x456;Náhodná otrava a priotrávenie alkoholom - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x457;Náhodná otrava a priotrávenie alkoholom - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x458;Náhodná otrava a priotrávenie alkoholom - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x459;Náhodná otrava a priotrávenie alkoholom - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x464;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x465;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x466;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x467;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x468;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x469;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x474;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x475;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x476;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x477;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x478;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x479;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x484;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x485;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x486;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x487;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x488;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x489;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x493;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Športové a atletické priestranstvo;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x494;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x495;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x496;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x497;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x498;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x499;Náhodná otrava;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y155;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y156;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y157;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y158;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y159;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y165;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y166;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y167;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y168;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y169;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y17-;Otrava inými plynmi a výparmi a vystavenie týmto látkam, s neurčeným úmyslom;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y18-;Otrava pesticídmi a vystavenie týmto látkam, s neurčeným úmyslom;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;y19-;Otrava inými a bližšie neurčenými chemikáliami a škodlivými látkami a vystavenie týmto látkam, s neurčeným úmyslom;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c223;Angiosarkóm pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c224;Iný sarkóm pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c227;Iný karcinóm pečene, bližšie určený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c300;Zhubný nádor nosovej dutiny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c310;Zhubný nádor čeľustnej dutiny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c311;Zhubný nádor čuchovej dutiny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c312;Zhubný nádor čelovej dutiny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c328;Zhubný nádor hrtana presahujúci viaceré oblasti;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c45-;Mezotelióm;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c670;Zhubný nádor trigonum močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c671;Zhubný nádor klenby močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c672;Zhubný nádor bočnej steny močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c673;Zhubný nádor prednej steny močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c674;Zhubný nádor zadnej steny močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c675;Zhubný nádor krčka močového mechúra;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c676;Zhubný nádor ústia močovodu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c679;Zhubný nádor močového mechúra, bližšie neurčený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;c921-;Chronická myeloická leukémia (CML), BCR/ABL-pozitívna;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;d03-;Melanóm in situ;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;d144;Nezhubný nádor dýchacej sústavy, bližšie neurčený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;d596;Hemoglobinúria zapríčinená hemolýzou z iných vonkajších príčin;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;d598;Iná získaná hemolytická anémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;d612;Aplastická anémia z iných vonkajších príčin;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
